Date,High
2021-07-26,668.2000122070312
2021-07-27,666.5
2021-07-28,654.969970703125
2021-07-29,683.6900024414062
2021-07-30,697.530029296875
2021-08-02,726.9400024414062
2021-08-03,722.6500244140625
2021-08-04,724.9000244140625
2021-08-05,720.9500122070312
2021-08-06,716.3300170898438
2021-08-09,719.030029296875
2021-08-10,716.5900268554688
2021-08-11,715.1799926757812
2021-08-12,722.7999877929688
2021-08-13,729.9000244140625
2021-08-16,709.5
2021-08-17,674.5800170898438
2021-08-18,695.77001953125
2021-08-19,686.5499877929688
2021-08-20,692.1300048828125
2021-08-23,712.1300048828125
2021-08-24,715.219970703125
2021-08-25,716.969970703125
2021-08-26,715.4000244140625
2021-08-27,715.0
2021-08-30,731.0
2021-08-31,740.3900146484375
2021-09-01,741.989990234375
2021-09-02,740.969970703125
2021-09-03,734.0
2021-09-07,760.2000122070312
2021-09-08,764.4500122070312
2021-09-09,762.0999755859375
2021-09-10,762.6099853515625
2021-09-13,744.780029296875
2021-09-14,754.469970703125
2021-09-15,756.8599853515625
2021-09-16,758.9099731445312
2021-09-17,761.0399780273438
2021-09-20,742.0
2021-09-21,744.739990234375
2021-09-22,753.6699829101562
2021-09-23,758.2000122070312
2021-09-24,774.7999877929688
2021-09-27,799.0
2021-09-28,795.6400146484375
2021-09-29,793.5
2021-09-30,789.1300048828125
2021-10-01,780.780029296875
2021-10-04,806.969970703125
2021-10-05,797.3099975585938
2021-10-06,786.6599731445312
2021-10-07,805.0
2021-10-08,796.3800048828125
2021-10-11,801.239990234375
2021-10-12,812.3200073242188
2021-10-13,815.4099731445312
2021-10-14,820.25
2021-10-15,843.2100219726562
2021-10-18,875.260009765625
2021-10-19,877.9500122070312
2021-10-20,869.489990234375
2021-10-21,900.0
2021-10-22,910.0
2021-10-25,1045.02001953125
2021-10-26,1094.93994140625
